Date,Open,High,Low,Close,Adj Close,Volume
2018-04-24,64.360001,64.839996,64.000000,64.360001,63.103516,672297
2018-04-25,63.880001,64.199997,63.259998,63.840000,62.593666,532822
2018-04-26,63.939999,64.320000,63.599998,63.959999,62.711323,532625
2018-04-27,63.959999,64.540001,63.959999,64.239998,62.985855,394005
2018-04-30,64.180000,64.500000,64.000000,64.500000,63.240780,427661
2018-05-02,64.480003,64.639999,63.980000,64.260002,63.005466,837645
2018-05-03,64.199997,65.120003,64.000000,64.300003,63.044689,490385
2018-05-04,64.699997,65.400002,64.540001,65.139999,63.868286,539635
2018-05-07,65.019997,65.639999,64.959999,65.620003,64.338921,287555
2018-05-08,65.660004,65.879997,65.339996,65.879997,64.593834,386886
2018-05-09,65.860001,66.199997,65.760002,66.139999,64.848763,343246
2018-05-10,66.260002,66.660004,66.099998,66.660004,65.358612,258793
2018-05-11,66.639999,66.779999,66.279999,66.459999,65.162514,260645
2018-05-14,66.480003,66.500000,66.059998,66.180000,64.887985,200914
2018-05-15,66.059998,66.459999,65.959999,66.160004,64.868378,380716
2018-05-16,66.139999,66.760002,66.099998,66.540001,65.240952,264914
2018-05-17,66.519997,66.919998,66.500000,66.919998,65.613533,290057
2018-05-18,66.779999,67.059998,66.620003,66.699997,65.397827,466874
2018-05-21,66.980003,67.160004,66.779999,66.959999,65.652756,213901
2018-05-22,66.980003,67.440002,66.559998,67.220001,65.907677,401751
2018-05-23,67.120003,67.400002,66.279999,66.480003,65.182129,511547
2018-05-24,66.660004,67.099998,66.400002,66.760002,65.456657,365330
2018-05-25,67.000000,67.260002,66.620003,66.800003,65.495880,406675
2018-05-28,67.260002,67.360001,66.379997,66.599998,65.299782,251647
2018-05-29,66.099998,66.220001,64.720001,64.860001,63.593754,777852
2018-05-30,65.099998,65.120003,64.040001,64.800003,63.534927,513110
2018-05-31,65.279999,65.599998,64.279999,64.540001,63.279999,988175
2018-06-01,63.680000,64.820000,63.619999,64.540001,64.540001,502556
2018-06-04,65.019997,65.040001,64.360001,64.400002,64.400002,481526
2018-06-05,64.220001,64.779999,64.000000,64.220001,64.220001,482935
2018-06-06,64.599998,64.699997,63.779999,64.120003,64.120003,369743
2018-06-07,64.540001,64.599998,63.840000,63.959999,63.959999,408338
2018-06-08,63.759998,64.080002,63.080002,63.840000,63.840000,591377
2018-06-11,64.019997,64.180000,63.580002,63.860001,63.860001,392539
2018-06-12,64.099998,64.360001,63.740002,64.059998,64.059998,440945
2018-06-13,64.220001,64.459999,64.080002,64.080002,64.080002,322669
2018-06-14,63.759998,65.360001,63.540001,64.959999,64.959999,731983
2018-06-15,65.080002,65.339996,64.080002,64.139999,64.139999,836280
2018-06-18,64.000000,64.000000,63.279999,63.779999,63.779999,470980
2018-06-19,63.480000,63.599998,62.980000,63.080002,63.080002,508188
2018-06-20,63.320000,63.740002,62.900002,63.080002,63.080002,545509
2018-06-21,63.439999,63.540001,62.500000,62.740002,62.740002,618609
2018-06-22,62.740002,63.380001,62.740002,63.320000,63.320000,488040
2018-06-25,63.180000,63.400002,62.119999,62.119999,62.119999,438735
2018-06-26,62.599998,62.599998,61.860001,61.860001,61.860001,418535
2018-06-27,61.820000,63.759998,61.720001,62.980000,62.980000,675880
2018-06-28,62.820000,63.279999,61.759998,61.939999,61.939999,617170
2018-06-29,62.279999,63.299999,62.180000,62.900002,62.900002,711877
2018-07-02,62.180000,62.360001,61.880001,62.060001,62.060001,539699
2018-07-03,62.220001,62.980000,62.220001,62.619999,62.619999,382844
2018-07-04,62.639999,62.639999,62.020000,62.560001,62.560001,345858
2018-07-05,62.720001,63.360001,62.200001,62.320000,62.320000,647636
2018-07-06,62.480000,62.480000,61.740002,62.419998,62.419998,528579
2018-07-09,62.660000,63.480000,62.660000,63.380001,63.380001,539385
2018-07-10,63.599998,63.939999,63.259998,63.779999,63.779999,463159
2018-07-11,63.320000,63.419998,62.779999,62.799999,62.799999,475164
2018-07-12,63.599998,63.980000,63.200001,63.279999,63.279999,728622
2018-07-13,63.619999,63.619999,63.340000,63.520000,63.520000,699278
2018-07-16,63.580002,64.120003,63.480000,63.720001,63.720001,362208
2018-07-17,63.700001,64.199997,63.400002,64.120003,64.120003,379025
2018-07-18,64.239998,64.360001,63.520000,63.840000,63.840000,670533
2018-07-19,63.660000,63.779999,62.400002,62.419998,62.419998,1017229
2018-07-20,62.259998,62.459999,61.540001,62.139999,62.139999,859827
2018-07-23,62.080002,62.099998,61.480000,62.000000,62.000000,621308
2018-07-24,62.220001,63.040001,62.060001,62.599998,62.599998,536492
2018-07-25,62.380001,62.880001,62.380001,62.639999,62.639999,383621
2018-07-26,62.880001,63.540001,62.520000,63.099998,63.099998,724838
2018-07-27,63.240002,63.840000,63.139999,63.660000,63.660000,529550
2018-07-30,63.500000,64.099998,63.360001,64.080002,64.080002,487969
2018-07-31,64.239998,64.239998,61.500000,62.840000,62.840000,1159986
2018-08-01,63.000000,64.019997,62.639999,63.080002,63.080002,926836
2018-08-02,63.000000,63.200001,62.259998,63.200001,63.200001,872513
2018-08-03,63.299999,63.660000,63.000000,63.240002,63.240002,548539
2018-08-06,63.520000,63.639999,62.959999,63.240002,63.240002,420788
2018-08-07,63.419998,63.639999,62.840000,62.840000,62.840000,782300
2018-08-08,62.880001,63.480000,62.880001,63.360001,63.360001,378442
2018-08-09,63.360001,63.360001,62.840000,63.060001,63.060001,378571
2018-08-10,62.759998,62.759998,62.080002,62.520000,62.520000,685226
2018-08-13,62.220001,62.639999,61.740002,62.520000,62.520000,357917
2018-08-14,62.759998,63.000000,62.419998,62.799999,62.799999,349659
2018-08-15,63.000000,63.099998,61.919998,62.180000,62.180000,530578
2018-08-16,62.459999,62.500000,62.099998,62.380001,62.380001,409058
2018-08-17,62.500000,62.759998,62.240002,62.540001,62.540001,302544
2018-08-20,62.540001,63.020000,62.439999,62.820000,62.820000,388858
2018-08-21,62.779999,63.419998,62.639999,62.980000,62.980000,405289
2018-08-22,62.980000,63.500000,62.799999,63.200001,63.200001,360925
2018-08-23,63.360001,63.540001,62.939999,63.220001,63.220001,342559
2018-08-24,63.220001,63.560001,63.020000,63.340000,63.340000,377611
2018-08-27,63.580002,64.440002,63.500000,64.239998,64.239998,438342
2018-08-28,64.339996,65.019997,64.339996,64.660004,64.660004,594041
2018-08-29,64.720001,65.099998,64.620003,64.860001,64.860001,566867
2018-08-30,65.000000,65.300003,64.699997,65.080002,65.080002,584567
2018-08-31,65.059998,65.339996,64.720001,64.820000,64.820000,191167
2018-09-03,64.720001,65.000000,64.300003,64.639999,64.639999,341585
2018-09-04,64.760002,64.839996,63.619999,64.099998,64.099998,485990
2018-09-05,64.099998,64.099998,63.259998,63.279999,63.279999,467130
2018-09-06,63.119999,63.520000,62.900002,63.040001,63.040001,516838
2018-09-07,62.619999,62.680000,61.660000,62.000000,62.000000,1049386
2018-09-10,62.099998,62.419998,61.820000,62.000000,62.000000,580480
2018-09-11,62.259998,62.520000,61.840000,62.340000,62.340000,547636
2018-09-12,62.279999,63.139999,62.240002,62.700001,62.700001,479387
2018-09-13,62.840000,63.099998,62.459999,62.480000,62.480000,414651
2018-09-14,62.779999,63.439999,62.720001,63.340000,63.340000,444614
2018-09-17,63.400002,63.820000,63.160000,63.799999,63.799999,443834
2018-09-18,63.740002,64.480003,63.560001,63.759998,63.759998,589646
2018-09-19,63.860001,63.939999,63.299999,63.480000,63.480000,528779
2018-09-20,63.419998,63.720001,63.299999,63.580002,63.580002,581554
2018-09-21,63.799999,64.239998,63.740002,64.000000,64.000000,934330
2018-09-24,63.939999,64.239998,63.540001,63.779999,63.779999,494213
2018-09-25,63.779999,64.019997,63.259998,63.400002,63.400002,509596
2018-09-26,63.360001,63.540001,62.860001,63.119999,63.119999,573179
2018-09-27,63.080002,63.400002,62.759998,63.360001,63.360001,464481
2018-09-28,63.119999,63.360001,62.700001,62.779999,62.779999,655201
2018-10-01,62.720001,63.240002,62.680000,63.000000,63.000000,355584
2018-10-02,62.560001,62.799999,62.320000,62.320000,62.320000,465152
2018-10-03,62.500000,62.779999,62.400002,62.520000,62.520000,320571
2018-10-04,62.459999,62.480000,62.060001,62.080002,62.080002,552867
2018-10-05,62.060001,62.060001,60.779999,60.799999,60.799999,530112
2018-10-08,60.660000,60.880001,60.200001,60.259998,60.259998,505024
2018-10-09,60.240002,60.240002,59.299999,59.840000,59.840000,606369
2018-10-10,59.980000,60.000000,58.419998,58.459999,58.459999,619792
2018-10-11,58.000000,58.380001,57.180000,57.740002,57.740002,1098839
2018-10-12,58.259998,58.459999,57.139999,57.259998,57.259998,786443
2018-10-15,57.279999,57.599998,56.560001,57.380001,57.380001,599660
2018-10-16,57.560001,58.840000,57.220001,58.840000,58.840000,728403
2018-10-17,59.040001,59.340000,58.459999,58.880001,58.880001,528467
2018-10-18,58.500000,58.599998,57.439999,57.480000,57.480000,771184
2018-10-19,57.279999,57.380001,56.279999,56.480000,56.480000,805913
2018-10-22,56.740002,57.119999,56.380001,56.380001,56.380001,314917
2018-10-23,55.540001,55.759998,54.560001,55.439999,55.439999,639542
2018-10-24,55.700001,56.419998,55.419998,55.580002,55.580002,569516
2018-10-25,55.299999,57.099998,55.200001,57.099998,57.099998,614612
2018-10-26,56.759998,56.799999,55.639999,56.639999,56.639999,613037
2018-10-29,56.740002,57.619999,56.619999,56.919998,56.919998,404425
2018-10-30,56.919998,57.119999,56.299999,56.919998,56.919998,514244
2018-10-31,56.500000,58.080002,56.500000,57.740002,57.740002,834320
2018-11-01,57.740002,58.200001,57.240002,57.520000,57.520000,520168
2018-11-02,57.939999,58.480000,57.000000,57.119999,57.119999,794570
2018-11-05,57.040001,57.520000,56.740002,56.980000,56.980000,523483
2018-11-06,57.340000,57.340000,56.759998,57.099998,57.099998,484868
2018-11-07,57.459999,58.139999,57.419998,58.020000,58.020000,536853
2018-11-08,56.200001,56.560001,55.320000,55.599998,55.599998,1303798
2018-11-09,55.000000,55.279999,53.840000,55.180000,55.180000,1487853
2018-11-12,55.180000,55.500000,53.759998,53.779999,53.779999,859930
2018-11-13,53.740002,54.680000,53.639999,54.639999,54.639999,674240
2018-11-14,54.500000,54.500000,52.939999,53.000000,53.000000,1029063
2018-11-15,53.459999,53.720001,52.740002,52.880001,52.880001,692995
2018-11-16,53.119999,53.759998,53.119999,53.139999,53.139999,1013398
2018-11-19,53.220001,53.720001,52.900002,53.040001,53.040001,677802
2018-11-20,52.880001,53.540001,52.700001,53.139999,53.139999,989881
2018-11-21,53.639999,53.639999,53.000000,53.580002,53.580002,584038
2018-11-22,53.279999,53.520000,53.160000,53.200001,53.200001,433835
2018-11-23,53.060001,53.320000,52.740002,53.279999,53.279999,428607
2018-11-26,53.580002,54.200001,53.459999,53.720001,53.720001,581546
2018-11-27,53.599998,53.980000,53.439999,53.700001,53.700001,585748
2018-11-28,53.740002,54.180000,53.419998,53.980000,53.980000,531114
2018-11-29,54.580002,54.860001,53.919998,54.040001,54.040001,743704
2018-11-30,54.279999,54.360001,53.680000,54.099998,54.099998,790392
2018-12-03,54.240002,54.840000,52.700001,53.060001,53.060001,1098452
2018-12-04,52.840000,53.180000,52.160000,52.200001,52.200001,844581
2018-12-05,51.740002,52.160000,51.480000,52.000000,52.000000,630843
2018-12-06,51.480000,51.560001,50.560001,50.560001,50.560001,1084975
2018-12-07,50.900002,51.220001,50.480000,50.480000,50.480000,675218
2018-12-10,50.360001,50.439999,49.509998,49.750000,49.750000,693515
2018-12-11,49.930000,50.680000,49.930000,50.220001,50.220001,661446
2018-12-12,50.480000,51.180000,50.240002,51.080002,51.080002,614244
2018-12-13,51.180000,51.400002,48.990002,49.919998,49.919998,1475625
2018-12-14,49.759998,50.139999,49.500000,49.689999,49.689999,834174
2018-12-17,49.570000,49.840000,49.270000,49.330002,49.330002,644624
2018-12-18,49.389999,49.610001,48.910000,49.209999,49.209999,511181
2018-12-19,49.330002,49.400002,48.689999,48.939999,48.939999,564019
2018-12-20,48.349998,48.799999,48.000000,48.700001,48.700001,768897
2018-12-21,48.349998,48.700001,48.130001,48.529999,48.529999,935665
2018-12-24,48.160000,48.660000,48.160000,48.430000,48.430000,149754
2018-12-27,48.919998,49.099998,47.750000,48.090000,48.090000,489874
2018-12-28,48.520000,49.279999,48.340000,49.279999,49.279999,520716
2018-12-31,49.470001,49.549999,49.169998,49.299999,49.299999,162477
